Frames	Seconds	X1	Y1	X1Cam	Y1Cam	X2	Y2	X2Cam	Y2Cam	Phase
1	0	6.101446152	0.54678216	269.551239	44.74259949	8.240261078	3.933374786	341.8302002	169.9903259	2
2	0.04	6.099555206	0.548891211	269.4902344	44.79514313	8.232774353	3.922166824	341.6695862	169.6081238	2
3	0.08	6.098546219	0.549808216	269.4571228	44.81723785	8.224371338	3.910958862	341.4848633	169.2265625	2
4	0.12	6.098580551	0.548982143	269.4560242	44.79377747	8.217028809	3.902433777	341.319519	168.9372101	2
5	0.16	6.098722076	0.547036314	269.4556274	44.73877716	8.212075806	3.898316574	341.2033386	168.7993317	2
6	0.2	6.097613907	0.545165682	269.4112244	44.68087769	8.209616852	3.899672699	341.1365051	168.8507233	2
7	0.24	6.094939423	0.544089365	269.3136597	44.63930511	8.208989716	3.907563782	341.0991516	169.1298523	2
8	0.28	6.09164238	0.543834686	269.1963501	44.61869812	8.209468842	3.922592926	341.0705566	169.6586609	2
9	0.32	6.088899612	0.544090605	269.1000061	44.61491394	8.210518646	3.943270874	341.0401611	170.3848267	2
10	0.36	6.08723259	0.544886208	269.0431824	44.63089752	8.211739349	3.965358734	341.0088806	171.159256	2
11	0.4	6.086399841	0.546674728	269.0186462	44.67858887	8.212767792	3.983874512	340.98172	171.8075562	2
12	0.44	6.086033249	0.550013304	269.0148315	44.77246094	8.213448334	3.996076965	340.9633484	172.2343445	2
13	0.48	6.086141586	0.555378389	269.0334473	44.92626953	8.213801575	4.002390671	340.9537048	172.4550323	2
14	0.52	6.087097931	0.563251257	269.0889893	45.15549469	8.21394577	4.004951859	340.9497986	172.5445251	2
15	0.56	6.089324188	0.573931265	269.1973572	45.47080231	8.213995361	4.005828857	340.9484558	172.5751648	2
16	0.6	6.092922592	0.58675704	269.3604431	45.85411835	8.214022064	4.006269836	340.9478149	172.5905609	2
17	0.64	6.097381592	0.599415445	269.553772	46.23712921	8.214898682	4.00730896	340.9672546	172.625412	2
18	0.68	6.101977539	0.608940649	269.7434692	46.53105164	8.21829071	4.010213852	341.0457458	172.7211304	2
19	0.72	6.106419754	0.613797045	269.9147339	46.68972778	8.227851868	4.016589737	341.2720337	172.9271393	2
20	0.76	6.110734177	0.615173388	270.0717163	46.74724579	8.250165558	4.028431702	341.8071594	173.300293	2
21	0.8	6.114580917	0.61557231	270.2093506	46.77458191	8.288771057	4.045646286	342.7364502	173.8280945	2
22	0.84	6.116876602	0.617010927	270.2948303	46.82569885	8.33896637	4.064974213	343.9421997	174.4025116	2
23	0.88	6.116633225	0.619769669	270.2940063	46.90464783	8.384941101	4.080157852	345.0429077	174.8368378	2
24	0.92	6.11407547	0.622920561	270.2121277	46.98549652	8.408824158	4.085541534	345.6183777	174.9749603	2
25	0.96	6.110650253	0.625570965	270.0979614	47.04833984	8.402524567	4.079584503	345.4811096	174.7827911	2
26	1	6.10775795	0.628366709	270.0030518	47.11765289	8.371546173	4.065122604	344.7564087	174.3451538	2
27	1.04	6.105764771	0.633797169	269.9474182	47.26728058	8.32925415	4.047210312	343.7532043	173.8065338	2
28	1.08	6.104421616	0.645362902	269.9319763	47.59841919	8.289463043	4.030834198	342.7992249	173.3120575	2
29	1.12	6.103517532	0.665813494	269.9568481	48.19193268	8.261042023	4.019377136	342.111908	172.9647522	2
30	1.16	6.1034729	0.695624352	270.0383301	49.06681824	8.245464325	4.013586807	341.7318726	172.7906189	2
31	1.2	6.105120468	0.733359671	270.2023315	50.18899536	8.239118195	4.011938858	341.5745544	172.7443542	2
32	1.24	6.109340286	0.776933479	270.4750366	51.50518799	8.23670578	4.011930847	341.5128479	172.7483826	2
33	1.28	6.116342926	0.823777294	270.8575439	52.94345093	8.234176636	4.011432648	341.449585	172.7354736	2
34	1.32	6.125251389	0.87096386	271.3106995	54.41384888	8.230773926	4.010015488	341.3666687	172.6919708	2
35	1.36	6.134419251	0.915309048	271.766449	55.81188965	8.226170349	4.007910156	341.2549133	172.6264801	2
36	1.4	6.142907333	0.955159092	272.1859741	57.07997894	8.220821381	4.005681229	341.1242981	172.5579224	2
37	1.44	6.150954056	0.991564655	272.5805054	58.24858856	8.215350342	4.003685761	340.9896851	172.4976807	2
38	1.48	6.159315491	1.026707649	272.9835815	59.38726807	8.211242676	4.002717209	340.8869324	172.4709778	2
39	1.52	6.16822319	1.061467266	273.4060059	60.52404785	8.209568024	4.003604126	340.8411865	172.5050201	2
40	1.56	6.177759171	1.094922733	273.8481445	61.6296463	8.209954834	4.006175232	340.8434753	172.5944519	2
41	1.6	6.188164902	1.125778294	274.3150024	62.66261292	8.210643005	4.00912323	340.8523865	172.6965332	2
